"","text"
"41","@gopayindonesia TGL 8/2/19 saya belanja di Lottemart Green Pramuka Square  50rb ,
Tgl 9/2/19 (lewat 24 jam) sy  belum terima vchr cashback &amp; menanyakan voucher cashback saya ,  DM Twitter @gopayindonesia  ,
Jawaban dr CS FR sangat mengejutkan Krn tiba tiba min TRX berubah"
"42","@gopayindonesia @gojekindonesia @gojekindonesia 
Koq bisa ya min @gopayindonesia sebelum dan pas transaksi, saya diinfo minimal transaksi 50.000 , pas udah transaksi, pet 24 jam dan Sy minta hak voucher cashback sy via DM tiba tiba min transaksi jd 150rb <U+0001F62D>"
"43","Dear @gopayindonesia apakah TIPU TIPU ?! saya kecewa dgn promo cashback 40% Lottemart tgl 4-10 Februari 19,info dr @katalogpromosi min belanja 50.000,
CS Lottemart info 1 x 24 jam akan saya terima voucher cashback 40% diakun @gojekindonesia saya"
"44","@gojekindonesia Halooo min @gojekindonesia ini GOPAY NYA TIPU TIPU @gopayindonesia 
Sedih saya <U+0001F62D><U+0001F62D>
Sebelum &amp;pas transaksi S&amp;K min 50rb , pas udh transaksi,tiba tiba min jd 150rb ,
DITIPU NIH SAMA @gopayindonesia !!!
<U+0001F62D><U+0001F631><U+0001F926>"
"45","@gopayindonesia @gojekindonesia one of ur merchants (old chang kee @ CP) is imposing minimum transaction for payment with GoPay, do u aware of this ?"
"46","@gojekindonesia @gopayindonesia Min sy pesen gojek tp driver gk mau ambil karena jarak nya jauh, jd terpaksa sy cancel tp kenapa saldo gopay saya jg kepotong<U+0001F623><U+0001F623><U+0001F623> nyampe rumah enggak nombok iya<U+0001F623><U+0001F623><U+0001F623>"
"47","@PakAjiMumpung @gopayindonesia Saya cinta bapak<U+0001F618> bahagia sekalu saya pakkkk #2019AjiMumpung"
"48","@imuth_thata @gojekindonesia @gopayindonesia wah gawat nih harus sering2 cek saldo nih nga aman dong"
"49","@gopayindonesia @PakAjiMumpung Min, GopayPayDay bulan ini ada McD cashback 50% maksimal 50rb gak?
Adain lagi dong <U+0001F62D><U+0001F62D><U+0001F62D>"
"50","@gojekindonesia @gopayindonesia ini kan saya cancel order tapi kenapa gopay saya kepotong ya? Udah sering banget soalnya kayak gini https://t.co/CDLq3toUIr"
"51","Ehem @gojekindonesia @gopayindonesia masih ada bugs ? Kok bisa ya saldo berkurang padahal cancel. Pantesan saldo cepet banget abisnya ternyata eh ternyata. Sayangnya baru hari ini saya catet saldo akhir sebelum order. 2 kali loh in same time .. tolong yak . Trims"
"52","@gopayindonesia @gojekindonesia Syudah lapor telpun pake pulsa juga <U+0001F602> lo yg salah gw yg rugi. Emang gw butuh sih tapi ga gituw jugak ciiint"
"53","@gojekindonesia @gopayindonesia ini promo untuk gobills yg 20% gimana ya? https://t.co/XiPMiOD384"
"54","@gopayindonesia Saya belum pernah min"
